Datacenter,UnitName,NamingScheme,DiskSize,Memory,NumCPU,Template,Cluster,Network,ComputerName,Administrators
DC2,UNIT,2022,120,12,2,"Win10-1909","DC1-C03-NonGPU","DC1-C03-VLAN344","Xen-2022","Matthew.Franklin"
DC2,UNIT,2023,120,12,2,"Win10-1909","DC1-C03-NonGPU","DC1-C03-VLAN344","Xen-2023","Matthew.Franklin"
